=============================================================================================================
total: 2.745360639000012 , -1
total: 3.8616534740000077 , -1
total: 2.7281112900000153 , -1
total: 2.747551350000009 , -1
total: 2.7418736090000095 , -1
total: 2.759043436000013 , -1
total: 2.805341869000017 , -1
total: 2.8343468200000075 , -1
total: 4.724463669000016 , -1
total: 3.985250519999994 , -1
average: [ 3.19329967 -1.        ]
average: [ 5.1483641]
(0.368650521, 1.522673911, 0.46044549100000004, 3.068129538)
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                            Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
             ConvolutionFunction         0.95%      46.446ms        71.65%        3.506s      83.478ms      22.106ms         0.46%        3.172s      75.513ms            42  
             convolution_backend        53.79%        2.632s        68.69%        3.361s      80.026ms        1.321s        27.27%        3.111s      74.066ms            42  
                         mapping         2.73%     133.739ms        22.54%        1.103s     122.565ms     130.696ms         2.70%        1.094s     121.513ms             9  
                     sphashquery         5.99%     293.000ms         8.88%     434.512ms      48.279ms     163.501ms         3.37%     314.418ms      34.935ms             9  
                    aten::select         5.05%     247.075ms         7.55%     369.234ms     372.212us     229.798ms         4.74%     300.201ms     302.622us           992  
                     aten::zeros         4.26%     208.243ms         6.46%     315.965ms       1.183ms      68.817ms         1.42%     205.175ms     768.446us           267  
                        aten::to         1.03%      50.242ms         4.08%     199.702ms     853.427us      35.173ms         0.73%     146.462ms     625.906us           234  
                        aten::mm         3.63%     177.683ms         3.63%     177.683ms     184.127us        1.446s        29.84%        1.446s       1.498ms           965  
                  aten::_to_copy         1.61%      78.801ms         3.05%     149.460ms     698.411us      65.859ms         1.36%     111.289ms     520.042us           214  
                aten::as_strided         2.73%     133.756ms         2.73%     133.756ms     123.619us      77.534ms         1.60%      77.534ms      71.658us          1082  
                aten::batch_norm         0.26%      12.922ms         2.29%     112.103ms       2.288ms       7.245ms         0.15%     240.707ms       4.912ms            49  
                aten::unique_dim         1.86%      91.215ms         2.10%     102.909ms      25.727ms      92.908ms         1.92%     103.844ms      25.961ms             4  
    aten::_batch_norm_impl_index         0.36%      17.515ms         2.03%      99.181ms       2.024ms      14.527ms         0.30%     233.462ms       4.765ms            49  
                          sphash         0.23%      11.075ms         1.90%      92.886ms       5.160ms     125.057ms         2.58%     224.187ms      12.455ms            18  
                       aten::sub         1.90%      92.776ms         1.90%      92.776ms      10.308ms     101.033ms         2.09%     101.033ms      11.226ms             9  
                       aten::sum         0.78%      38.215ms         1.88%      91.784ms       1.800ms      34.497ms         0.71%      86.057ms       1.687ms            51  
         aten::native_batch_norm         0.77%      37.470ms         1.56%      76.480ms       1.561ms     190.460ms         3.93%     216.362ms       4.416ms            49  
