=============================================================================================================
total: 4.183537745999274 , -1
total: 4.161411346999557 , -1
total: 4.19137076700008 , -1
total: 4.179153446000782 , -1
total: 4.1876378529996146 , -1
total: 4.1827108950001275 , -1
total: 4.177018352000232 , -1
total: 4.164062410000042 , -1
total: 4.180866974999844 , -1
total: 4.196163303000503 , -1
average: [ 4.18039331 -1.        ]
average: [ 6.11559084]
(0.7597032300000001, 2.21019331, 0.960533528, 4.310209261000001)
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                            Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
             ConvolutionFunction         0.45%      25.682ms        77.78%        4.481s     213.374ms      18.311ms         0.32%        4.412s     210.095ms            21  
             convolution_backend        65.96%        3.800s        76.56%        4.411s     210.044ms        2.183s        37.80%        4.359s     207.578ms            21  
                         mapping         1.55%      89.081ms        20.17%        1.162s     145.274ms      94.949ms         1.64%        1.124s     140.495ms             8  
                     sphashquery        11.20%     645.004ms        12.15%     700.154ms      87.519ms     330.946ms         5.73%     413.523ms      51.690ms             8  
                    aten::select         4.19%     241.359ms         6.13%     353.256ms     725.372us     233.255ms         4.04%     293.186ms     602.025us           487  
                        aten::mm         2.89%     166.235ms         2.89%     166.235ms     359.039us        1.776s        30.75%        1.776s       3.836ms           463  
                        aten::to         0.53%      30.764ms         2.79%     160.969ms       1.045ms      19.986ms         0.35%     111.130ms     721.623us           154  
                     aten::zeros         1.32%      76.272ms         2.66%     152.967ms     831.342us      42.466ms         0.74%     192.654ms       1.047ms           184  
                  aten::_to_copy         0.83%      47.770ms         2.26%     130.205ms     936.727us      38.458ms         0.67%      91.144ms     655.712us           139  
                aten::as_strided         2.06%     118.953ms         2.06%     118.953ms     218.262us      64.576ms         1.12%      64.576ms     118.488us           545  
                     aten::copy_         1.31%      75.487ms         1.31%      75.487ms     438.878us      63.527ms         1.10%      63.527ms     369.343us           172  
                aten::batch_norm         0.17%       9.583ms         1.27%      73.319ms       3.491ms       6.963ms         0.12%     141.191ms       6.723ms            21  
    aten::_batch_norm_impl_index         0.20%      11.268ms         1.11%      63.736ms       3.035ms      11.811ms         0.20%     134.228ms       6.392ms            21  
                      aten::item         0.11%       6.424ms         1.09%      62.675ms       2.161ms       5.599ms         0.10%       8.453ms     291.483us            29  
                       aten::sum         0.38%      21.766ms         1.01%      58.336ms       2.012ms      23.810ms         0.41%      64.713ms       2.231ms            29  
       aten::_local_scalar_dense         0.98%      56.251ms         0.98%      56.251ms       1.940ms       2.854ms         0.05%       2.854ms      98.414us            29  
                     aten::zero_         0.55%      31.436ms         0.94%      54.400ms     331.707us      17.485ms         0.30%     141.261ms     861.348us           164  
